ID;Setor;Canal;Data;Rating;Local_Loja;Texto_Original;Status;Sentimento;Sentiment_Score;Categoria;Subcategoria;Tags;Menciona_Empregado;Urgencia;Palavras_Chave;Sugestao_Acao;Rascunho_Resposta
6e2f3fbb-55de-4107-9a03-449228194a28;Hotelaria;Website;2024-11-15 05:40:51;1;Hotel Machado Comfort;Decepcionante. O ar condicionado do quarto não funcionava e o atendente Vitor Hugo Carvalho não resolveu.;Classificado;Negativo;0.05;Instalações;Ar condicionado;ar condicionado, quarto, manutenção, atendimento, não resolvido;Vitor Hugo Carvalho;Alta;ar condicionado não funcionava, atendente não resolveu, decepcionante;Reparar imediatamente o ar condicionado e reforçar treinamento de solução de problemas na recepção.;Lamentamos pela experiência. Vamos reparar o ar-condicionado do quarto e revisar o atendimento prestado. Por favor, compartilhe seu número de reserva para acompanharmos e oferecer uma compensação adequada.
9c290129-7b8c-4d9c-af34-157c9a729821;Hotelaria;Website;2024-12-22 05:18:03;1;Hotel Sampaio Resort;A limpeza do banheiro deixou a desejar. Encontrei cabelos no ralo.;Classificado;Negativo;0.1;Limpeza;Banheiro;banheiro, limpeza inadequada, cabelos no ralo, higiene, hotelaria;Não;Média;limpeza do banheiro, cabelos no ralo, deixou a desejar;Reforçar inspeção de limpeza dos banheiros e checklist de higienização.;Lamentamos pela falha na limpeza do banheiro. Agradecemos o alerta e vamos reforçar a inspeção e os procedimentos de higienização. Conte conosco para corrigir imediatamente em sua próxima estadia. Obrigado por nos ajudar a melhorar.
b9c2e96b-ede2-4b25-bd8d-4b199763cc82;Hotelaria;Totem na Loja;2025-07-17 12:01:57;2;Hotel Azevedo Plaza;Péssimo atendimento na recepção, o funcionário parecia totalmente perdido.;Classificado;Negativo;0.1;Atendimento;Recepção;atendimento ruim, recepção, funcionário perdido, experiência negativa, hotelaria;Não;Média;péssimo atendimento, recepção, funcionário perdido;Treinar equipe da recepção com foco em procedimentos e atendimento ao cliente;Lamentamos pelo atendimento na recepção. Vamos reforçar o treinamento da equipe para garantir agilidade e orientação adequada. Agradecemos o feedback. Pode nos enviar detalhes da data e horário para avaliarmos a escala?
368ff324-b754-4141-b34e-186c7ab01978;Hotelaria;Website;2025-03-29 19:03:04;5;Hotel Moraes Palace;Estadia fantástica! A equipe, especialmente Rhavi Lopes, foi extremamente atenciosa.;Classificado;Positivo;0.95;Atendimento;Equipe/Recepção;estadia fantástica, equipe atenciosa, hotelaria, experiência do hóspede, elogio funcionário;Rhavi Lopes;Baixa;Estadia fantástica, equipe atenciosa, Rhavi Lopes;Reconhecer e elogiar publicamente o desempenho de Rhavi Lopes e da equipe;Agradecemos pelo feedback incrível! Ficamos felizes que nossa equipe, especialmente o Rhavi Lopes, tenha tornado sua estadia excelente. Esperamos recebê-lo novamente em breve!
0fbb2993-1bfc-4e6f-b2fa-58723c94aef3;Material Construcao;Redes Sociais;2024-09-09 12:52:51;3;Constrói Ea Construção;A loja tem boa variedade, mas tive dificuldade para conseguir ajuda de um vendedor no setor de tijoloss.;Classificado;Neutro;0.5;Atendimento;Disponibilidade de vendedores;variedade de produtos, falta de atendimento, setor de tijolos, espera por vendedor, material de construção;Não;Média;boa variedade, dificuldade para conseguir ajuda, setor de tijolos;Reforçar equipe e sinalização de atendimento no setor de tijolos;Obrigado pelo feedback! Ficamos felizes com a variedade, e lamentamos a dificuldade no atendimento no setor de tijolos. Vamos reforçar a equipe e melhorar a sinalização. Conte conosco para uma próxima experiência melhor.
bc9f8136-99d3-4943-a293-9da4804544d2;Material Construcao;Redes Sociais;2024-12-27 17:17:38;3;Center Temporibus Tudo;A loja tem boa variedade, mas tive dificuldade para conseguir ajuda de um vendedor no setor de cimentos.;Classificado;Neutro;0.5;Atendimento;Disponibilidade de vendedores;variedade de produtos, dificuldade de atendimento, setor de cimentos, falta de vendedor, material de construção;Não;Média;boa variedade, dificuldade para conseguir ajuda, setor de cimentos;Reforçar presença de vendedores no setor de cimentos e revisar escala de atendimento.;Obrigado pelo feedback! Ficamos felizes pela variedade, e sentimos pela dificuldade no setor de cimentos. Vamos reforçar a equipe e a sinalização de atendimento. Conte conosco para ajudar na próxima visita.
796bb777-3417-4ce3-906f-74927d25951f;Material Construcao;Reclame Aqui;2025-04-17 12:45:58;3;Constrói Dolor Tudo;A loja tem boa variedade, mas tive dificuldade para conseguir ajuda de um vendedor no setor de porcelanatos.;Classificado;Neutro;0.5;Atendimento;Disponibilidade de vendedores;variedade de produtos, dificuldade de atendimento, setor de porcelanatos, tempo de espera, suporte ao cliente;Não;Média;boa variedade, dificuldade para conseguir ajuda, porcelanatos;Aumentar a presença de vendedores no setor de porcelanatos e treinar para abordagem proativa.;Obrigado pelo feedback! Ficamos felizes pela variedade, e lamentamos a dificuldade no setor de porcelanatos. Já estamos ajustando a equipe para melhorar o atendimento. Conte conosco na próxima visita.
49374cbc-cfc6-49e8-8905-919514f1f159;Material Construcao;Email;2025-05-26 13:36:18;5;Center Iure Tudo;Vendedor Olívia Cavalcanti foi muito atencioso e com grande conhecimento, me ajudou a escolher o porcelanato certo.;Classificado;Positivo;0.93;Atendimento;Atenção e conhecimento do vendedor;atendimento excelente, conhecimento técnico, ajuda na escolha, porcelanato, vendedor;Olívia Cavalcanti;Baixa;atencioso, grande conhecimento, porcelanato certo;Reconhecer publicamente a vendedora e promover boas práticas de consultoria técnica;Agradecemos seu feedback! Ficamos felizes que a Olívia tenha ajudado na escolha do porcelanato. Vamos reconhecer o excelente atendimento. Conte conosco sempre que precisar.
f95d4ce5-1ab8-4233-bce5-b2975cc3f284;Hotelaria;Reclame Aqui;2025-06-05 15:31:14;5;Hotel da Conceição Plaza;Excelente localização e instalações. A área da piscina é maravilhosa.;Classificado;Positivo;0.95;Instalações;Piscina e Localização;localização, instalações, piscina, experiência positiva, hotelaria;Não;Baixa;Excelente localização, instalações, área da piscina maravilhosa;Manter padrões das áreas comuns e destacar piscina e localização nas comunicações;Obrigado pelo feedback! Ficamos felizes que a localização, instalações e nossa área da piscina tenham agradado. Esperamos recebê-lo novamente em breve para outra excelente estadia.
c11fe4e0-a225-41d5-ac34-e62ca873e81b;Hotelaria;Totem na Loja;2025-06-23 16:27:08;4;Hotel Santos Plaza;Estadia fantástica! A equipe, especialmente Sra. Eloá Santos, foi extremamente atenciosa.;Classificado;Positivo;0.96;Atendimento;Cortesia da equipe;estadia fantástica, equipe atenciosa, elogio, hotelaria, Sra. Eloá Santos;Sra. Eloá Santos;Baixa;Estadia fantástica, equipe, extremamente atenciosa;Reconhecer e parabenizar a Sra. Eloá Santos publicamente;Agradecemos seu feedback! Ficamos felizes que sua estadia foi fantástica e que a Sra. Eloá Santos fez a diferença. Vamos reconhecer o trabalho dela. Esperamos recebê-lo novamente em breve!
